"id","url","supermarket","zip_code","category","name","description","trademark","trademark_propietary_flag","price","reference_price","reference_unit","offer_flag","offer_price","offer_type","insert_date"
25869112,https://tienda.mercadona.es/product/86503/margarina-flora-original-tarrina,mercadona.es,"28020",huevos_leche_y_mantequilla|mantequilla_y_margarina,Margarina Flora Original,Tarrina,otras marcas,false,3.45,8.625,kg,false,,,2023-03-15 00:00:00.000
25855500,https://www.carrefour.es/supermercado/nuggets-de-pechuga-de-pollo-250-g/R-prod1022705/p,carrefour.es,"28020",productos_frescos|platos_preparados|fritos,Nuggets de pechuga de pollo 250 g,,otras marcas,false,3.1,12.4,kg,,,,2023-03-15 00:00:00.000
25867724,https://tienda.mercadona.es/product/18611/mejillones-picantes-escabeche-hacendado-pequenos-13-18-piezas-lata,mercadona.es,"28020",conservas_caldos_y_cremas|berberechos_y_mejillones,Mejillones picantes en escabeche Hacendado pequeños,Lata,hacendado,true,1.65,23.914,kg,false,,,2023-03-15 00:00:00.000
25862155,https://www.dia.es/compra-online/despensa/conservas/conservas-vegetales/p/1252,dia.es,"28020",despensa|conservas|conservas_vegetales,CARRETILLA espárragos blancos extra 8/12 lata 150 gr,,carretilla,false,3.05,20.33,kg,,,,2023-03-15 00:00:00.000
25861733,https://www.dia.es/compra-online/despensa/desayunos-y-dulces/caramelos-chicles-y-golosinas/p/267968,dia.es,"28020",despensa|desayunos_y_dulces|caramelos_chicles_y_golosinas,DIA ICEBERG chicle sabor sandía sin azúcar bolsa 45 gr,,dia,true,0.99,22.1,kg,,,,2023-03-15 00:00:00.000
25859028,https://www.carrefour.es/supermercado/pacharan-de-nuestra-tierra-70-cl/R-prod710159/p,carrefour.es,"28020",bebidas|licores_y_cremas|pacharan,Pacharán De Nuestra Tierra 70 cl.,,otras marcas,false,12.38,17.69,l,,,,2023-03-15 00:00:00.000
25867341,https://tienda.mercadona.es/product/51239/queso-rallado-emmental-gratinar-hacendado-paquete,mercadona.es,"28020",charcuteria_y_quesos|queso_lonchas_rallado_y_en_porciones,Queso rallado emmental gratinar Hacendado,Paquete,hacendado,true,1.73,8.65,kg,false,,,2023-03-15 00:00:00.000
25864731,https://www.dia.es/compra-online/cuidado-del-hogar/utensilios-de-limpieza/p/6114,dia.es,"28020",cuidado_del_hogar|utensilios_de_limpieza,DIA estropajo salvauñas fibra blanca para baño paquete 2 uds,,dia,false,1.15,0.58,ud,,,,2023-03-15 00:00:00.000
25870689,https://tienda.mercadona.es/product/39946/zumo-pina-seleccion-hacendado-brick,mercadona.es,"28020",zumos|melocoton_y_pina,Zumo de piña selección Hacendado,Brick,hacendado,true,1.95,1.95,l,false,,,2023-03-15 00:00:00.000
25862506,https://www.dia.es/compra-online/despensa/salsas/mayonesa-y-otras-salsas/p/22568,dia.es,"28020",despensa|salsas|mayonesa_y_otras_salsas,GALLINA BLANCA salsa pimienta verde sobre 50 gr,,gallina blanca,false,1.7,28.81,kg,,,,2023-03-15 00:00:00.000